CG,status,chr,pos,cluster_id
cg09139287,chr1_48,1,852019,chr1_48
cg05662829,chr1_48,1,852044,chr1_48
cg23733394,ESS_SIV,1,904373,single1
cg10955566,chr1_188,1,1067747,chr1_188
cg08709360,chr1_188,1,1067997,chr1_188
cg01244934,chr1_188,1,1068038,chr1_188
cg15899727,chr1_188,1,1068150,chr1_188
cg18224942,chr1_340,1,1290402,chr1_340
cg18224942,ESS_SIV,1,1290402,chr1_340
cg16590012,ESS_SIV,1,1329975,single3
cg18148498,ESS_SIV,1,1445242,single4
cg27541892,ESS_SIV,1,1636440,single5
cg17450090,ESS_SIV,1,1655427,single6
cg23231093,ESS_SIV,1,1694264,single7
cg12639453,chr1_846,1,2104342,chr1_846
cg20300514,ESS_SIV,1,2189547,ESS_11
cg26227225,ESS_SIV,1,2189601,ESS_11
cg05337761,ESS_SIV,1,2189911,ESS_11
cg08200543,ESS_SIV,1,2190011,ESS_11
cg01894875,ESS_SIV,1,2190083,ESS_11
cg07700843,ESS_SIV,1,2459879,single13
cg14508832,ESS_SIV,1,2473456,single14
cg14790876,chr1_1494,1,2881716,chr1_1494
cg10091792,chr1_1522,1,2927792,chr1_1522
cg07902789,chr1_1667,1,3182066,chr1_1667
cg21609526,ESS_SIV,1,3188588,single15
cg10331884,ESS_SIV,1,3505035,single16
cg12551983,ESS_SIV,1,3804025,single17
cg24556754,ESS_SIV,1,3805283,single18
cg20703997,chr1_2137,1,4027617,chr1_2137
cg26840333,ESS_SIV,1,4651360,single19
cg05041475,chr1_2509,1,5736945,chr1_2509
cg14654471,ESS_SIV,1,5877110,single20
cg14089881,ESS_SIV,1,6236571,single21
cg20409752,ESS_SIV,1,7062667,single22
cg02289343,ESS_SIV,1,9071564,SIV_75
cg17243628,ESS_SIV,1,9071725,SIV_75
cg23914842,chr1_3656,1,9267112,chr1_3656
cg08886482,ESS_SIV,1,9588642,single25
cg00147627,chr1_4071,1,10395091,chr1_4071
cg07384165,chr1_4081,1,10428225,chr1_4081
cg10315903,ESS_SIV,1,11263197,single26
cg24371425,ESS_SIV,1,11501441,SIV_31
cg08243619,ESS_SIV,1,11501606,SIV_31
cg10116490,ESS_SIV,1,11501655,SIV_31
cg00175403,chr1_4808,1,12163487,chr1_4808
cg10307152,chr1_4932,1,12580651,chr1_4932
cg04145937,ESS_SIV,1,14177619,single30
cg18917957,chr1_5641,1,15437598,chr1_5641
cg23064554,chr1_5641,1,15437600,chr1_5641
cg08471734,chr1_5650,1,15482323,chr1_5650
cg05660106,ESS_SIV,1,15523923,single31
cg15135166,ESS_SIV,1,15734116,single32
cg12584510,chr1_6085,1,16520444,chr1_6085
cg15101535,chr1_6085,1,16520460,chr1_6085
cg06849778,chr1_6085,1,16520720,chr1_6085
cg26613586,chr1_6085,1,16520795,chr1_6085
cg01059331,chr1_6085,1,16521041,chr1_6085
cg07961027,chr1_6085,1,16521274,chr1_6085
cg06293205,chr1_6085,1,16521307,chr1_6085
cg07925738,chr1_6085,1,16521345,chr1_6085
cg12387865,ESS_SIV,1,16615987,single33
cg25602718,ESS_SIV,1,16617570,single34
cg12442246,chr1_6149,1,16678270,chr1_6149
cg13486430,chr1_6149,1,16678314,chr1_6149
cg09158015,chr1_6149,1,16678340,chr1_6149
cg06794355,ESS_SIV,1,16688305,single35
cg27525446,ESS_SIV,1,16693316,single36
cg17984400,ESS_SIV,1,16721031,single37
cg12648811,ESS_SIV,1,16727392,single38
cg26541649,chr1_6207,1,16889707,chr1_6207
cg24678241,chr1_6210,1,16900994,chr1_6210
cg08277548,ESS_SIV,1,17274386,single39
cg25979543,ESS_SIV,1,17561610,single40
cg18795169,chr1_6804,1,18575672,chr1_6804
cg18795169,ESS_SIV,1,18575672,chr1_6804
cg21416600,chr1_6848,1,18703282,chr1_6848
cg13786083,ESS_SIV,1,18784241,ESS_34
cg13786083,chr1_6866,1,18784241,ESS_34
cg19637330,chr1_6866,1,18784429,ESS_34
cg19637330,ESS_SIV,1,18784429,ESS_34
cg26220594,chr1_6866,1,18784485,chr1_6866
cg14856563,chr1_6866,1,18784596,ESS_34
cg14856563,ESS_SIV,1,18784596,ESS_34
cg12798157,ESS_SIV,1,19274226,single45
cg18199495,chr1_7057,1,19328979,chr1_7057
cg04087271,chr1_7426,1,20588842,chr1_7426
cg00784581,chr1_7426,1,20589100,chr1_7426
cg17974166,ESS_SIV,1,22953577,single46
cg12483005,ESS_SIV,1,23148379,single47
cg19743168,ESS_SIV,1,23218503,single48
cg17246694,chr1_8391,1,24154358,chr1_8391
cg23213449,chr1_8433,1,24300999,chr1_8433
cg21268256,ESS_SIV,1,25183031,single49
cg21826606,ESS_SIV,1,25266565,ESS_69
cg16220844,ESS_SIV,1,25266685,ESS_69
cg24991732,ESS_SIV,1,25267996,single52
cg17603057,ESS_SIV,1,25906330,single53
cg15622158,ESS_SIV,1,26177529,single54
cg22367705,ESS_SIV,1,27155041,single55
cg14378564,ESS_SIV,1,28091240,single56
cg04993605,chr1_9608,1,28246542,chr1_9608
cg04993605,ESS_SIV,1,28246542,chr1_9608
cg25303761,ESS_SIV,1,30783182,chr1_10125
cg25303761,chr1_10125,1,30783182,chr1_10125
cg07110043,ESS_SIV,1,31373551,single59
cg23058319,ESS_SIV,1,33165417,single60
cg16580496,chr1_11563,1,37690723,chr1_11563
cg24088508,chr1_11563,1,37690791,chr1_11563
cg12339802,chr1_11563,1,37690874,chr1_11563
cg27170260,chr1_11563,1,37690904,chr1_11563
cg06917450,chr1_11563,1,37690981,chr1_11563
cg06917450,ESS_SIV,1,37690981,chr1_11563
cg14667685,ESS_SIV,1,38783933,single62
cg08166631,ESS_SIV,1,40133340,single63
cg19471466,ESS_SIV,1,41362459,single64
cg17016894,ESS_SIV,1,41423795,single65
cg24634568,ESS_SIV,1,42785099,single66
cg01934756,chr1_12627,1,42887073,chr1_12627
cg17105912,chr1_12627,1,42887152,chr1_12627
cg09793809,chr1_12627,1,42887248,chr1_12627
cg22607339,chr1_12731,1,43337489,chr1_12731
cg10842584,chr1_12731,1,43337551,chr1_12731
cg18918426,ESS_SIV,1,46404626,single67
cg25880954,ESS_SIV,1,47434959,single68
cg00829645,ESS_SIV,1,48898986,single69
cg20245116,ESS_SIV,1,55056341,single70
cg06748470,ESS_SIV,1,65002298,single71
cg25307371,ESS_SIV,1,65419865,single72
cg23744433,ESS_SIV,1,66925077,single73
cg11235152,ESS_SIV,1,67135005,single74
cg13205059,ESS_SIV,1,68120726,single75
cg06937997,chr1_16843,1,71046418,chr1_16843
cg00121533,ESS_SIV,1,74733434,single76
cg02297043,ESS_SIV,1,75125228,ESS_33
cg01066472,ESS_SIV,1,75125345,ESS_33
cg00325531,ESS_SIV,1,75125669,ESS_33
cg01005080,chr1_17125,1,75127266,chr1_17125
cg09766820,chr1_17125,1,75127334,chr1_17125
cg02772132,chr1_17156,1,75376126,chr1_17156
cg22875332,ESS_SIV,1,75724023,SIV_77
cg03433033,ESS_SIV,1,75724117,SIV_77
cg27046936,ESS_SIV,1,78491163,single82
cg13450265,chr1_18025,1,85198037,chr1_18025
cg17737388,ESS_SIV,1,85258772,single83
cg21245975,ESS_SIV,1,85259841,single84
cg14669130,chr1_18413,1,88993822,chr1_18413
cg11309454,chr1_18413,1,88993847,chr1_18413
cg23627354,chr1_18413,1,88993976,chr1_18413
cg22507154,ESS_SIV,1,90719677,single85
cg11705954,chr1_18705,1,91546176,chr1_18705
cg07017454,chr1_18705,1,91546423,chr1_18705
cg23098371,chr1_18705,1,91546505,chr1_18705
cg05527459,chr1_18705,1,91546592,chr1_18705
cg12403142,chr1_18705,1,91546852,chr1_18705
cg21854759,chr1_18705,1,91546943,chr1_18705
cg02896835,chr1_18705,1,91547059,chr1_18705
cg13639937,chr1_18705,1,91547099,chr1_18705
cg25838465,chr1_18705,1,91547180,chr1_18705
cg26518628,ESS_SIV,1,96584750,single86
cg14515779,ESS_SIV,1,100658411,single87
cg24323958,chr1_20297,1,108199263,chr1_20297
cg25593510,ESS_SIV,1,109712041,ESS_70
cg25210835,ESS_SIV,1,109712207,SIV_32
cg12858902,ESS_SIV,1,109712233,ESS_70
cg23719124,ESS_SIV,1,109712298,SIV_32
cg10807101,chr1_20571,1,109739653,chr1_20571
cg00865962,chr1_20576,1,109760862,chr1_20576
cg00698771,ESS_SIV,1,112743319,single92
cg19319928,ESS_SIV,1,116775361,single93
cg01778345,ESS_SIV,1,117884814,single94
cg20485607,chr1_22066,1,119675074,chr1_22066
cg25200586,ESS_SIV,1,120844376,single102
cg00646200,ESS_SIV,1,143497548,single103
cg14222229,ESS_SIV,1,143643094,single104
cg19635571,ESS_SIV,1,143650357,SIV_30
cg16661522,ESS_SIV,1,143650419,SIV_30
cg22692549,ESS_SIV,1,143650580,SIV_30
cg17598466,ESS_SIV,1,143652328,single108
cg13911828,chr1_22577,1,143652903,chr1_22577
cg13911828,ESS_SIV,1,143652903,chr1_22577
cg19769301,chr1_22577,1,143652962,chr1_22577
cg04876245,ESS_SIV,1,143653545,ESS_68
cg04876245,chr1_22577,1,143653545,ESS_68
cg19736968,chr1_22577,1,143653598,ESS_68
cg19736968,ESS_SIV,1,143653598,ESS_68
cg27587661,ESS_SIV,1,143653649,chr1_22577
cg27587661,chr1_22577,1,143653649,chr1_22577
cg02153358,ESS_SIV,1,143654687,ESS_62
cg15686402,ESS_SIV,1,143655028,ESS_62
cg23034922,ESS_SIV,1,143661130,single115
cg06921319,ESS_SIV,1,143662025,single116
cg25618439,ESS_SIV,1,143663460,single117
cg26908109,chr1_22587,1,143667580,chr1_22587
cg23106045,chr1_22587,1,143667791,SIV_29
cg23106045,ESS_SIV,1,143667791,SIV_29
cg09139923,ESS_SIV,1,143667823,SIV_29
cg09139923,chr1_22587,1,143667823,SIV_29
cg21937395,ESS_SIV,1,143667879,SIV_29
cg21937395,chr1_22587,1,143667879,SIV_29
cg01419577,ESS_SIV,1,143675688,single121
cg19361456,ESS_SIV,1,143679982,ESS_71
cg20962500,ESS_SIV,1,143680332,ESS_71
cg22700790,ESS_SIV,1,143691741,single124
cg18388270,ESS_SIV,1,143717591,single125
cg07379028,ESS_SIV,1,143736721,single126
cg19990379,chr1_22832,1,145823671,chr1_22832
cg24874173,ESS_SIV,1,146049324,SIV_78
cg00701051,ESS_SIV,1,146049610,SIV_78
cg25600478,ESS_SIV,1,146052522,single97
cg02487331,ESS_SIV,1,147078919,single100
cg02451774,ESS_SIV,1,148329094,single101
cg16528597,ESS_SIV,1,148871000,single96
cg08860596,ESS_SIV,1,149746071,single127
cg08130307,chr1_23552,1,150538150,chr1_23552
cg04414720,ESS_SIV,1,150697721,single128
cg15448220,ESS_SIV,1,150925381,chr1_23625
cg15448220,chr1_23625,1,150925381,chr1_23625
cg10589385,chr1_23625,1,150925962,chr1_23625
cg15025200,ESS_SIV,1,152188762,ESS_13
cg23107878,ESS_SIV,1,152188922,SIV_6
cg26320663,ESS_SIV,1,152189046,ESS_13
cg02754945,ESS_SIV,1,152189410,SIV_6
cg13498757,ESS_SIV,1,152189452,ESS_13
cg21280320,ESS_SIV,1,152189550,ESS_13
cg03957898,ESS_SIV,1,152360948,single136
cg20991723,ESS_SIV,1,152534447,single137
cg07796016,ESS_SIV,1,152807109,single138
cg03449150,ESS_SIV,1,153113174,single139
cg08477332,ESS_SIV,1,153617768,chr1_24147
cg08477332,chr1_24147,1,153617768,chr1_24147
cg11343894,ESS_SIV,1,153627229,ESS_65
cg02331910,ESS_SIV,1,153627356,ESS_65
cg00006626,ESS_SIV,1,154154987,single143
cg14859874,ESS_SIV,1,154265790,single144
cg25208724,ESS_SIV,1,156194054,SIV_83
cg24450063,ESS_SIV,1,156194109,SIV_83
cg19263494,ESS_SIV,1,156211826,single147
cg26300672,chr1_25204,1,157278777,chr1_25204
cg18938392,chr1_25204,1,157279161,chr1_25204
cg03520254,chr1_25204,1,157279374,chr1_25204
cg07950803,ESS_SIV,1,158254145,single148
cg11578532,ESS_SIV,1,161038338,single149
cg00339687,chr1_25770,1,161379106,chr1_25770
cg02954704,chr1_25770,1,161379217,chr1_25770
cg25597117,chr1_25770,1,161379327,chr1_25770
cg25597117,ESS_SIV,1,161379327,chr1_25770
cg26082797,chr1_25800,1,161459481,chr1_25800
cg27566812,chr1_25800,1,161459490,chr1_25800
cg26017915,ESS_SIV,1,161526937,single151
cg23270415,chr1_25832,1,161604875,chr1_25832
cg10967587,ESS_SIV,1,162497391,SIV_33
cg07175007,ESS_SIV,1,162497396,ESS_63
cg00859178,ESS_SIV,1,162497419,ESS_63
cg03342862,chr1_26075,1,163755981,chr1_26075
cg24693760,ESS_SIV,1,167540682,single155
cg10331038,ESS_SIV,1,175406893,single156
cg19504955,ESS_SIV,1,176904314,single157
cg00579423,ESS_SIV,1,180953941,SIV_81
cg03058232,ESS_SIV,1,180954205,SIV_81
cg14027288,ESS_SIV,1,180954548,single160
cg02710296,ESS_SIV,1,182952717,SIV_82
cg08787039,ESS_SIV,1,182952723,SIV_82
cg23961843,ESS_SIV,1,183654541,single163
cg08658634,ESS_SIV,1,184350783,single164
cg11066601,chr1_28847,1,185404355,chr1_28847
cg11066601,ESS_SIV,1,185404355,chr1_28847
cg00114966,ESS_SIV,1,197924791,single166
cg03946186,chr1_29775,1,198158863,chr1_29775
cg19433037,chr1_29775,1,198159036,chr1_29775
cg23237225,chr1_29775,1,198159232,chr1_29775
cg12092932,chr1_29775,1,198159261,chr1_29775
cg21827626,chr1_30376,1,201984229,chr1_30376
cg23371584,ESS_SIV,1,203306800,single167
cg26400546,chr1_31364,1,205530228,chr1_31364
cg03461704,chr1_31467,1,205849357,chr1_31467
cg06815965,chr1_31467,1,205849541,chr1_31467
cg17178900,ESS_SIV,1,205849829,ESS_7
cg17178900,chr1_31467,1,205849829,ESS_7
cg26354017,chr1_31467,1,205849961,chr1_31467
cg14159672,chr1_31467,1,205850052,chr1_31467
cg14893161,ESS_SIV,1,205850124,ESS_7
cg14893161,chr1_31467,1,205850124,ESS_7
cg11965913,chr1_31467,1,205850279,ESS_7
cg11965913,ESS_SIV,1,205850279,ESS_7
cg07167872,chr1_31467,1,205850336,ESS_7
cg07167872,ESS_SIV,1,205850336,ESS_7
cg24503407,chr1_31467,1,205850365,ESS_7
cg24503407,ESS_SIV,1,205850365,ESS_7
cg07157834,chr1_31467,1,205850482,ESS_7
cg07157834,ESS_SIV,1,205850482,ESS_7
cg10021878,ESS_SIV,1,207496578,single174
cg21106486,ESS_SIV,1,207669740,single175
cg10512769,ESS_SIV,1,211502015,single176
cg09077675,ESS_SIV,1,212036022,single177
cg13453711,chr1_32534,1,212309463,chr1_32534
cg16315980,chr1_33050,1,216485926,chr1_33050
cg12132508,ESS_SIV,1,218312686,single178
cg16532282,ESS_SIV,1,226084099,single179
cg10327440,ESS_SIV,1,226990185,single180
cg13092405,ESS_SIV,1,227887723,ESS_66
cg10962762,ESS_SIV,1,227888049,ESS_66
cg11953245,ESS_SIV,1,228103891,single183
cg11801727,ESS_SIV,1,228471393,single184
cg22700015,ESS_SIV,1,228555431,single185
cg18025438,chr1_35051,1,228621043,chr1_35051
cg01525538,ESS_SIV,1,228650241,ESS_64
cg16732787,ESS_SIV,1,228650246,ESS_64
cg26362491,ESS_SIV,1,229570469,single188
cg23677911,ESS_SIV,1,230120648,single189
cg03217880,ESS_SIV,1,230332719,single190
cg01876809,chr1_35978,1,232633837,chr1_35978
cg20784768,ESS_SIV,1,233905711,single191
cg04143909,ESS_SIV,1,234231577,single192
cg01567173,ESS_SIV,1,239955051,single193
cg12804283,ESS_SIV,1,240406427,single194
cg25623271,ESS_SIV,1,240492918,single195
cg22879626,ESS_SIV,1,240493287,single196
cg00081729,ESS_SIV,1,240493438,single197
cg09361966,ESS_SIV,1,242057174,single198
cg12691488,ESS_SIV,1,242890372,single199
cg24502334,ESS_SIV,1,243101541,ESS_61
cg02356786,ESS_SIV,1,243101715,ESS_61
cg04917688,chr1_38029,1,244351917,chr1_38029
cg26108836,chr1_38029,1,244351919,chr1_38029
cg07953201,ESS_SIV,1,245688501,single202
cg05719392,chr1_38402,1,245881811,chr1_38402
cg24478129,ESS_SIV,1,246428822,single203
cg04798314,ESS_SIV,1,246505300,single204
cg06613253,chr1_38581,1,246768595,chr1_38581
cg00028022,ESS_SIV,1,246821272,single205
cg07799877,chr1_38648,1,247090514,chr1_38648
cg11497169,chr1_38671,1,247170434,chr1_38671
cg18198730,ESS_SIV,1,247518283,ESS_67
cg11166453,ESS_SIV,1,247518480,ESS_67
cg17545182,ESS_SIV,1,247530740,ESS_32
cg12754571,ESS_SIV,1,247530970,ESS_32
cg12758973,ESS_SIV,1,247530974,ESS_32
cg02518135,ESS_SIV,1,247639438,single211
cg15595212,chr1_38790,1,247936882,chr1_38790
cg09506600,chr1_38790,1,247936927,ESS_4
cg09506600,ESS_SIV,1,247936927,ESS_4
cg08861456,ESS_SIV,1,247936975,ESS_4
cg08861456,chr1_38790,1,247936975,ESS_4
cg20434529,chr1_38790,1,247937044,chr1_38790
cg08260406,ESS_SIV,1,247937106,ESS_4
cg08260406,chr1_38790,1,247937106,ESS_4
cg04028570,chr1_38790,1,247937126,chr1_38790
cg03748376,ESS_SIV,1,247937284,ESS_4
cg03748376,chr1_38790,1,247937284,ESS_4
cg00785941,ESS_SIV,1,247937290,ESS_4
cg00785941,chr1_38790,1,247937290,ESS_4
cg20507276,ESS_SIV,1,247937299,ESS_4
cg20507276,chr1_38790,1,247937299,ESS_4
cg08944170,ESS_SIV,1,247937313,ESS_4
cg08944170,chr1_38790,1,247937313,ESS_4
cg20433858,chr1_38790,1,247937708,chr1_38790
cg22673542,ESS_SIV,1,248594828,single219
cg04836492,ESS_SIV,1,248627159,single220
cg19367176,ESS_SIV,1,248628416,single221
cg08121453,ESS_SIV,1,248692064,single222
cg07726457,chr2_58,2,293815,chr2_58
cg05089527,ESS_SIV,2,594510,single1070
cg06850787,ESS_SIV,2,716358,single1071
cg21665850,ESS_SIV,2,731074,ESS_19
cg21665850,chr2_185,2,731074,ESS_19
cg01267068,chr2_185,2,731159,chr2_185
cg01479768,chr2_185,2,731299,ESS_19
cg01479768,ESS_SIV,2,731299,ESS_19
cg26476930,chr2_185,2,731520,ESS_19
cg26476930,ESS_SIV,2,731520,ESS_19
cg20057198,chr2_185,2,731562,ESS_19
cg20057198,ESS_SIV,2,731562,ESS_19
cg08280036,chr2_185,2,731595,chr2_185
cg25450649,chr2_237,2,866756,chr2_237
cg06791546,ESS_SIV,2,868253,ESS_132
cg01854967,ESS_SIV,2,868261,ESS_132
cg08242232,chr2_241,2,869021,chr2_241
cg16956133,chr2_241,2,869390,chr2_241
cg27243490,chr2_335,2,1209141,chr2_335
cg13049247,chr2_335,2,1209194,chr2_335
cg00450617,ESS_SIV,2,1233468,single1078
cg14793137,ESS_SIV,2,1477173,single1079
cg01028140,ESS_SIV,2,1538326,single1080
cg21862353,ESS_SIV,2,1797857,ESS_126
cg26094651,ESS_SIV,2,1798274,ESS_126
cg19705853,ESS_SIV,2,1800871,single1083
cg05180887,ESS_SIV,2,1813492,ESS_127
cg10075506,ESS_SIV,2,1813580,ESS_127
cg25000021,ESS_SIV,2,2732198,single1086
cg06502997,ESS_SIV,2,3182357,single1087
cg00257789,chr2_988,2,3447736,chr2_988
cg15541040,ESS_SIV,2,3482979,ESS_20
cg15506890,ESS_SIV,2,3483231,ESS_20
cg08493051,ESS_SIV,2,3483394,ESS_20
cg12156873,ESS_SIV,2,3483642,ESS_20
cg19867917,ESS_SIV,2,3595040,ESS_48
cg09974661,ESS_SIV,2,3595045,ESS_48
cg17872886,ESS_SIV,2,3595143,ESS_48
cg19825600,ESS_SIV,2,3656912,single1095
cg17052675,ESS_SIV,2,3779767,single1096
cg03721808,chr2_1186,2,4107074,chr2_1186
cg23912081,chr2_1187,2,4108501,chr2_1187
cg23761544,ESS_SIV,2,8199500,single1097
cg03538480,chr2_1989,2,8645133,chr2_1989
cg03538480,ESS_SIV,2,8645133,chr2_1989
cg08694618,chr2_1989,2,8645528,chr2_1989
cg06039387,chr2_1989,2,8645599,chr2_1989
cg19533582,chr2_2167,2,9323294,chr2_2167
cg14973360,ESS_SIV,2,9660383,single1099
cg01299579,ESS_SIV,2,10690591,single1100
cg00523161,ESS_SIV,2,11748628,single1101
cg15750303,ESS_SIV,2,18584583,SIV_55
cg20702390,ESS_SIV,2,18584753,SIV_55
cg04391048,ESS_SIV,2,18584757,SIV_55
cg24879782,ESS_SIV,2,19361722,single1105
cg27582563,chr2_4059,2,20184525,chr2_4059
cg25425667,chr2_4126,2,20506756,chr2_4126
cg03510444,chr2_5050,2,26038649,chr2_5050
cg22920501,chr2_5068,2,26178772,chr2_5068
cg12454169,chr2_5965,2,30446732,ESS_128
cg12454169,ESS_SIV,2,30446732,ESS_128
cg15652532,chr2_5965,2,30446894,ESS_128
cg15652532,ESS_SIV,2,30446894,ESS_128
cg17749961,chr2_5965,2,30446998,chr2_5965
cg03795903,chr2_5965,2,30447075,chr2_5965
cg07150166,chr2_5965,2,30447087,chr2_5965
cg15403517,ESS_SIV,2,31581207,single1108
cg09504692,chr2_6295,2,32944287,chr2_6295
cg04131969,ESS_SIV,2,33726581,single1109
cg09467607,ESS_SIV,2,36598562,chr2_6666
cg09467607,chr2_6666,2,36598562,chr2_6666
cg01206211,chr2_6666,2,36598594,chr2_6666
cg07416916,chr2_6666,2,36598746,chr2_6666
cg26039217,chr2_6680,2,36707631,chr2_6680
cg01378826,chr2_7480,2,42076038,chr2_7480
cg15865511,ESS_SIV,2,43025286,single1111
cg00493304,ESS_SIV,2,48617770,single1112
cg19384241,ESS_SIV,2,55166842,single1113
cg14554157,ESS_SIV,2,60552893,single1114
cg20592124,ESS_SIV,2,65063605,single1115
cg13339083,chr2_10828,2,66688363,chr2_10828
cg14608581,ESS_SIV,2,69895109,single1116
cg21989299,ESS_SIV,2,70257415,ESS_134
cg12850242,ESS_SIV,2,70257483,ESS_134
cg20891558,ESS_SIV,2,74130725,SIV_132
cg19729930,ESS_SIV,2,74130746,SIV_132
cg15135990,ESS_SIV,2,74437963,single1121
cg04255230,ESS_SIV,2,74499884,single1122
cg19148731,ESS_SIV,2,74553103,single1123
cg10973622,ESS_SIV,2,86196152,single1124
cg12606911,ESS_SIV,2,86809504,single1125
cg03339790,chr2_13588,2,87348869,chr2_13588
cg04624074,chr2_13588,2,87349248,chr2_13588
cg22276047,chr2_13588,2,87349277,chr2_13588
cg26563141,chr2_13655,2,87825358,chr2_13655
cg22068400,chr2_13935,2,89977455,chr2_13935
cg22068400,ESS_SIV,2,89977455,chr2_13935
cg12697337,chr2_13935,2,89977493,chr2_13935
cg22509113,chr2_14088,2,91589441,chr2_14088
cg14362697,chr2_14088,2,91589916,chr2_14088
cg13717566,chr2_14126,2,91748878,chr2_14126
cg05354971,chr2_14126,2,91748959,chr2_14126
cg24938881,chr2_14126,2,91749010,chr2_14126
cg24607859,chr2_14126,2,91749240,chr2_14126
cg04944682,chr2_14162,2,92074438,chr2_14162
cg05269440,chr2_14162,2,92074781,chr2_14162
cg04693256,chr2_14387,2,94858430,chr2_14387
cg05852568,ESS_SIV,2,94871661,ESS_130
cg00596207,ESS_SIV,2,94871964,ESS_130
cg23061114,ESS_SIV,2,94874521,single1129
